start,end,midi,note,velocity,confidence
98.205,98.725,60,C4,70,0.869
98.725,98.795,58,A#3,48,0.323
98.795,98.935,59,B3,48,0.685
98.935,99.075,58,A#3,48,0.733
99.075,99.145,59,B3,48,0.188
99.285,99.455,58,A#3,52,0.495
99.455,99.715,56,G#3,69,0.745
99.715,99.805,58,A#3,57,0.877
99.805,99.945,59,B3,48,0.409
100.035,100.875,55,G3,48,0.581
101.015,101.215,55,G3,71,0.914
101.685,101.975,70,A#4,48,0.756
102.005,102.425,75,D#5,57,0.919
102.455,102.605,80,G#5,54,0.894
102.605,102.705,77,F5,48,1.0
102.765,103.245,73,C#5,75,0.935
103.245,103.375,72,C5,79,0.982
103.375,103.635,73,C#5,67,0.873
103.635,103.855,72,C5,73,0.979
103.855,103.925,71,B4,66,0.983
103.925,104.065,70,A#4,66,0.925
104.065,104.355,68,G#4,69,0.944
104.355,104.565,70,A#4,68,0.924
104.565,104.685,68,G#4,73,0.932
104.685,104.845,67,G4,73,0.993
104.845,105.145,68,G#4,68,0.928
105.145,105.595,70,A#4,55,0.649
105.635,106.095,75,D#5,54,0.96
106.785,106.905,75,D#5,48,0.981
106.935,107.045,72,C5,48,0.879
107.045,107.205,73,C#5,48,0.993
107.695,107.965,72,C5,48,0.899
108.175,108.395,61,C#4,87,0.837
108.395,108.545,63,D#4,87,0.885
108.545,108.655,62,D4,54,0.494
108.655,108.955,63,D#4,91,0.723
108.955,109.025,60,C4,88,0.595
109.025,109.435,61,C#4,92,0.859
109.555,109.745,58,A#3,99,0.643
109.805,110.115,56,G#3,93,0.609
110.225,111.585,63,D#4,85,0.898
111.675,111.865,68,G#4,81,0.65
111.935,112.335,63,D#4,79,0.695
112.415,112.665,68,G#4,84,0.581
112.835,112.955,69,A4,72,0.795
112.955,113.145,70,A#4,52,0.482
114.005,114.085,67,G4,48,0.749
115.545,115.805,60,C4,87,0.82
115.805,115.895,63,D#4,86,0.825
115.895,115.975,61,C#4,49,0.113
115.975,116.045,62,D4,56,0.58
116.045,116.265,63,D#4,90,0.77
116.315,116.715,61,C#4,89,0.821
116.745,116.845,60,C4,97,0.84
116.845,116.925,58,A#3,100,0.83
116.925,117.055,57,A3,92,0.363
117.055,117.145,55,G3,85,0.505
117.145,117.395,56,G#3,87,0.617
117.445,117.515,62,D4,93,0.761
117.515,118.005,63,D#4,88,0.917
118.005,118.085,62,D4,76,0.915
118.085,118.205,63,D#4,49,0.721
118.205,118.325,62,D4,48,0.42
118.735,118.945,61,C#4,88,0.7
118.955,119.295,61,C#4,91,0.833
119.295,121.515,64,E4,89,0.969
